iteration	group	n_cells	detected_cells	detection_pct	mean_log1p_cp10k_all_cells	n_kcnq1_positive	mean_log1p_cp10k_among_kcnq1_positive	median_log1p_cp10k_among_kcnq1_positive
10	Primary normal epithelial	3368	499	14.815914489311163	0.10865161428979975	499	0.7333439617796503	0.578930466790227
10	Tumor intestinal patient	3368	377	11.193586698337292	0.0789372929710086	377	0.7052010682396738	0.5717514870260895
10	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
11	Primary normal epithelial	3368	483	14.340855106888363	0.1048926656026461	483	0.7314254611795281	0.6047376194700216
11	Tumor intestinal patient	3368	377	11.193586698337292	0.08347049103251038	377	0.7456992408421617	0.5942591794077364
11	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
12	Primary normal epithelial	3368	501	14.875296912114013	0.10686652956817577	501	0.7184161109493333	0.5751649102555116
12	Tumor intestinal patient	3368	359	10.659144893111637	0.07732669706645966	359	0.7254493474090142	0.5693767510024152
12	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753819	0.4973203465165874
13	Primary normal epithelial	3368	492	14.608076009501186	0.1056798226480867	492	0.7234342330869024	0.5756756360728905
13	Tumor intestinal patient	3368	370	10.985748218527316	0.08026873448299256	370	0.7306624263208622	0.6080933242599341
13	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753819	0.4973203465165874
14	Primary normal epithelial	3368	473	14.04394299287411	0.10852074221724671	473	0.7727227479655117	0.6254229176975235
14	Tumor intestinal patient	3368	363	10.777909738717339	0.07777116709134513	363	0.7215793133984859	0.6037402946620057
14	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
15	Primary normal epithelial	3368	481	14.28147268408551	0.10531666387319893	481	0.7374356006755385	0.5897489364143401
15	Tumor intestinal patient	3368	390	11.579572446555819	0.0880503347441572	390	0.7603936600469782	0.6034595161323535
15	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
16	Primary normal epithelial	3368	485	14.400237529691212	0.10659671899963817	485	0.7402427826614049	0.5867042744882737
16	Tumor intestinal patient	3368	364	10.807600950118765	0.07884334846852771	364	0.7295175759395642	0.5629251271337724
16	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211106	262	0.6855360760753819	0.4973203465165874
17	Primary normal epithelial	3368	470	13.954869358669834	0.10418788886491107	470	0.7466059780787668	0.6201925130588579
17	Tumor intestinal patient	3368	378	11.223277909738718	0.0813193770540813	378	0.7245599521644069	0.5705669219698883
17	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753818	0.4973203465165874
18	Primary normal epithelial	3368	480	14.251781472684085	0.10776219489175139	480	0.7561314008237888	0.6114126898213041
18	Tumor intestinal patient	3368	360	10.688836104513063	0.07973466407391222	360	0.7459620794470453	0.5772716193104819
18	Tumor diffuse patient	3368	262	7.779097387173397	0.05332851898211105	262	0.6855360760753819	0.4973203465165874
19	Primary normal epithelial	3368	481	14.28147268408551	0.10514770777974067	481	0.7362525567612611	0.5884392612203126
19	Tumor intestinal patient	3368	375	11.134204275534442	0.08304980917842471	375	0.7458980195011584	0.6337382031294049
