TSPAN1	1	46175086	46185962
POMGNT1	1	46188680	46220305
LURAP1	1	46203333	46221256
RAD54L	1	46247687	46278473
LRRC41	1	46277461	46303616
UQCRH	1	46303697	46316775
NSUN4	1	46340176	46365152
FAAH	1	46394316	46413845
DMBX1	1	46489835	46516216
MKNK1	1	46557406	46604268
MOB3C	1	46607714	46616891
ATPAF1	1	46632738	46668443
EFCAB14	1	46675158	46719114
CYP4B1	1	46799045	46819413
CYP4X1	1	46961363	47050754
LINC00853	1	47179249	47180339
PDZK1IP1	1	47183581	47190036
TAL1	1	47216289	47232335
STIL	1	47250138	47314896
CMPK1	1	47333789	47378839
FOXE3	1	47416284	47418052
FOXD2-AS1	1	47432134	47434641
FOXD2	1	47438043	47440691
TRABD2B	1	47760527	47997385
SLC5A9	1	48222715	48248638
SPATA6	1	48295371	48472208
AGBL4	1	48532853	50023954
BEND5	1	48727518	48776969
ELAVL4	1	50048054	50203772
DMRTA2	1	50417549	50423443
FAF1	1	50437027	50960267
CDKN2C	1	50968694	50974634
LINC01562	1	51195094	51235096
RNF11	1	51236272	51273447
TTC39A	1	51287257	51345116
TTC39A-AS1	1	51329653	51331281
EPS15	1	51354262	51519266
OSBPL9	1	51617091	51789219
NRDC	1	51789193	51878937
RAB3B	1	51907955	51990700
TXNDC12	1	52020131	52056171
KTI12	1	52032102	52033810
BTF3L4	1	52056184	52090716
ZFYVE9	1	52142088	52346686
CC2D1B	1	52350592	52366205
ORC1	1	52372828	52404471
PRPF38A	1	52404601	52420835
TUT4	1	52423275	52553092
GPX7	1	52602370	52609051
SHISAL2A	1	52633167	52669667
COA7	1	52684448	52698347
ZYG11B	1	52726452	52827336
ZYG11A	1	52842759	52894995
ECHDC2	1	52895909	52921774
SCP2	1	52927228	53051698
PODN	1	53062212	53085494
SLC1A7	1	53087182	53142638
CPT2	1	53196823	53214197
MAGOH	1	53226899	53238518
LRP8	1	53242369	53328070
GLIS1	1	53506232	53739164
NDC1	1	53765480	53838296
YIPF1	1	53851732	53889797
LRRC42	1	53946349	53968168
LDLRAD1	1	54007297	54018186
TMEM59	1	54026680	54053573
TCEANC2	1	54053607	54112520
CYB5RL	1	54169657	54200101
MRPL37	1	54200166	54225489
SSBP3	1	54225431	54406394
ACOT11	1	54548227	54639192
FAM151A	1	54609180	54623525
MROH7	1	54641739	54710267
TTC4	1	54715821	54742655
PARS2	1	54756897	54764523
TTC22	1	54779712	54801323
DHCR24	1	54849626	54887195
